epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.20201,2.84342,6.09256,1.80334,0,0,0,0,2.4317,6.47614,1.69774,5.004e-05,5.004e-05,5.004e-05
2,23.2988,2.55569,5.63535,1.64355,0,0,0,0,2.35373,5.90403,1.43306,0.000100411,0.000100411,0.000100411
3,39.5302,2.62235,5.13434,1.63194,0.00136,0.07143,0.04046,0.02783,2.35834,5.82393,1.38401,0.000145277,0.000145277,0.000145277
4,53.0593,2.54838,4.87145,1.51113,0.00283,0.09412,0.07597,0.05285,2.24557,5.59231,1.28948,0.000184639,0.000184639,0.000184639
5,68.531,2.4873,4.80227,1.4909,0.00218,0.10838,0.06914,0.04421,2.16815,5.38639,1.20315,0.000218497,0.000218497,0.000218497
6,76.1942,2.49517,4.48284,1.52378,0.02972,0.16679,0.09489,0.06917,2.14262,5.33232,1.22565,0.00024685,0.00024685,0.00024685
7,86.6593,2.41798,4.39083,1.46207,0.0299,0.18583,0.12758,0.07957,2.10566,5.2453,1.29165,0.000269699,0.000269699,0.000269699
8,93.3163,2.36844,4.3916,1.46984,0.97374,0.03571,0.12889,0.08251,2.13931,5.21154,1.27925,0.000287043,0.000287043,0.000287043
9,98.9716,2.35806,4.4908,1.44561,1,0.0622,0.14668,0.07792,2.12183,5.03694,1.25882,0.000298883,0.000298883,0.000298883
10,112.463,2.35634,4.27287,1.39583,0.99931,0.07143,0.15307,0.06902,2.24362,4.80528,1.28251,0.000305219,0.000305219,0.000305219
11,181.084,2.44857,4.72166,1.44947,0.95302,0.10886,0.15588,0.07364,2.24979,4.60121,1.28654,0.00028078,0.00028078,0.00028078
12,193.36,2.47406,4.86381,1.48158,0.87129,0.12834,0.14797,0.07668,2.26922,4.54994,1.33974,0.000253258,0.000253258,0.000253258
13,204.121,2.40492,4.60319,1.47302,0.73061,0.13528,0.14993,0.079,2.24951,4.49259,1.33238,0.000225736,0.000225736,0.000225736
14,214.981,2.39228,4.63319,1.4063,0.84828,0.13617,0.16323,0.08603,2.23849,4.29148,1.3225,0.000198214,0.000198214,0.000198214
15,230.482,2.30231,4.39842,1.39174,0.71729,0.17594,0.16521,0.0878,2.30112,4.16842,1.31207,0.000170692,0.000170692,0.000170692
16,239.416,2.31676,4.4097,1.37145,0.75171,0.15907,0.16187,0.09807,2.25845,3.94044,1.31514,0.00014317,0.00014317,0.00014317
17,248.833,2.37322,4.22453,1.39632,0.71025,0.1616,0.15974,0.09995,2.23924,3.8585,1.30487,0.000115648,0.000115648,0.000115648
18,258.228,2.26996,4.24289,1.35,0.48833,0.16721,0.16108,0.10643,2.23079,3.77699,1.28178,8.8126e-05,8.8126e-05,8.8126e-05
19,269.598,2.32732,4.1238,1.37907,0.49387,0.17141,0.1658,0.10198,2.20615,3.72483,1.27874,6.0604e-05,6.0604e-05,6.0604e-05
20,273.937,2.30457,4.14751,1.379,0.49469,0.17636,0.16708,0.10239,2.17637,3.70538,1.26977,3.3082e-05,3.3082e-05,3.3082e-05
